Player,draft_year,draft_round,draft_number
Jimmy Collins,1970,1,11
Al Henry,1970,1,12
Jim McMillian,1970,1,13
John Vallely,1970,1,14
John Hummer,1970,1,15
Gary Freeman,1970,1,16
Mike Price,1970,1,17
Calvin Murphy,1970,1,18
Tiny Archibald,1970,1,19
Jake Ford,1970,1,20
Rex Morgan,1970,1,21
Doug Cook,1970,1,22
Pete Cross,1970,1,23
Cornell Warner,1970,1,24
Walt Gilmore,1970,1,25
Dave Sorenson,1970,1,26
Fred Taylor,1970,1,27
Paul Ruffner,1970,1,28
Joe DePre,1970,1,29
Earnie Killum,1970,1,30
Dan Hester,1970,2,31
Ken Warzynski,1970,2,32
Bill Zopf,1970,2,33
Howie Wright,1970,2,34
Curtis Perry,1970,2,35
Earle Higgins,1970,2,36
Bob St. Pierre,1970,2,37
Willie Williams,1970,2,38
Greg Hyder,1970,2,39
Gar Heard,1970,2,40
Surry Oliver,1970,2,41
Bill Cain,1970,2,42
Chip Case,1970,2,43
Greg McDivitt,1970,2,44
Lou Herndon,1970,2,45
Dennis Awtrey,1970,2,46
Jim Hayes,1970,2,47
Vann Williford,1970,2,48
Seabern Hill,1970,2,49
Marv Winkler,1970,2,50
Al Williams,1970,2,51
Jody Finney,1970,2,52
Ralph Ogden,1970,2,53
Bill Stricker,1970,2,54
Jon McKinney,1970,2,55
Wade Fuller,1970,2,56
John Davis,1970,2,57
Erwin Polnick,1970,2,58
Jim Penix,1970,2,59
Glenn Vidnovic,1970,2,60
Bob Lienhard,1970,2,61
Jim Wilson,1970,2,62
Dan Crenshaw,1970,2,63
Larry Mikan,1970,2,64
Fred Davis,1970,2,65
Billy Jones,1970,2,66
Virgle Fredrick,1970,2,67
John Marren,1970,2,68
James Gilbert,1970,2,69
Levi Fontaine,1970,2,70
Bill Jankans,1970,2,71
Tom Carter,1970,2,72
Uluss Thompson,1970,2,73
Boyd Lynch,1970,2,74
Wayne Sokolowski,1970,2,75
Ron Knight,1970,2,76
Robert Moore,1970,2,77
John Canine,1970,2,78
George Johnson,1970,2,79
Perry Wallace,1970,2,80
John Fultz,1970,2,81
Bob Riley,1970,2,82
Gary Zeller,1970,2,83
Mike Grosso,1970,2,84
Jim Oxley,1970,2,85
Mike Kretzer,1970,2,86
Vic Bartolome,1970,2,87
Sevira Brown,1970,2,88
Rod McIntyre,1970,2,89
Charles Bishop,1970,2,90
Sam Robinson,1970,2,91
Doug Hess,1970,2,92
George Janky,1970,2,93
Joe Cooke,1970,2,94
Joe Thomas,1970,2,95
Lonnie Kluttz,1970,2,96
Jerry Venable,1970,2,97
Jerry Kroll,1970,2,98
Dave Parker,1970,2,99
Marvin Polnick,1970,2,100
Willie Watson,1970,2,101
Jim Signorile,1970,2,102
Billy Paultz,1970,2,103
Joe Bergman,1970,2,104
Marv Copeland,1970,2,105
Charlie Scott,1970,2,106
Mike Bernard,1970,2,107
James Morgan,1970,2,108
Narvis Anderson,1970,2,109
Claude English,1970,2,110
Cliff Shegogg,1970,2,111
Heyward Dotson,1970,2,112
Lou West,1970,2,113
Carlton Poole,1970,2,114
Willie Woods,1970,2,115
John Shinall,1970,2,116
Charlie Wallace,1970,2,117
John Rinka,1970,2,118
Ray Hodge,1970,2,119
Don Adams,1970,2,120
Jeff Sewell,1970,2,121
Dan Issel,1970,2,122
Bobby Croft,1970,2,123
Joe McBride,1970,2,124
George Irvine,1970,2,125
Larry Woods,1970,2,126
Doug Boyd,1970,2,127
Walter Robertson,1970,2,128
Steve Patterson,1970,2,129
Mike Casey,1970,2,130
Fran O'Hanlon,1970,2,131
Rick Mount,1970,2,132
Herb White,1970,2,133
Tom Dykstra,1970,2,134
Jim Sarno,1970,2,135
Greg Fillmore,1970,2,136
Jim Gottschall,1970,2,137
Lou Small,1970,2,138
Alex Winn,1970,2,139
Tom Little,1970,2,140
Bob Mabry,1970,2,141
Claude Virden,1970,2,142
Tom Lagodich,1970,2,143
Billy Gaskins,1970,2,144
Larry Duckworth,1970,2,145
Carl Ashley,1970,2,146
Glen Johnson,1970,2,147
Mike Hauer,1970,2,148
Bobby Sands,1970,2,149
Larry Jackson,1970,2,150
Will Hetzel,1970,2,151
Joe Hamilton,1970,2,152
Walker Banks,1970,2,153
Toke Coleman,1970,2,154
Coby Dietrick,1970,2,155
Bruce Chapman,1970,2,156
Mike Maloy,1970,2,157
Carl Johnson,1970,2,158
Chuck Lloyd,1970,2,159
Joe Taylor,1970,2,160
Israel Oliver,1970,2,161
Ken Johnson,1970,2,162
Gerhard Schreur,1970,2,163
Dale Blaut,1970,2,164
Gordon Stiles,1970,2,165
Kindell Stephens,1970,2,166
Manuel Raga,1970,2,167
Ron Becker,1970,2,168
Bob Seemer,1970,2,169
Don Curnutt,1970,2,170
Ron Belton,1970,2,171
Rick Anheuser,1970,2,172
Ted Hillary,1970,2,173
Andy Owens,1970,2,174
Dave Schneider,1970,2,175
Dan McLemore,1970,2,176
Dick Walker,1970,2,177
Jim Walls,1970,2,178
Doug Howard,1970,2,179
David Whitley,1970,2,180
Bob Dukiet,1970,2,181
Dino Meneghin,1970,2,182
Mel Bell,1970,2,183
Jim Brooks,1970,2,184
Don Ogletree,1970,2,185
Reggie Roach,1970,2,186
Joe Brunson,1970,2,187
Paul Adams,1970,2,188
Ollie Taylor,1970,2,189
Ric Cobb,1970,2,190
Booker Brown,1970,2,191
Dewey Varner,1970,2,192
Ben McGilmer,1970,2,193
Harry Lozon,1970,2,194
Ernest Hardy,1970,2,195
Larry Gray,1970,2,196
Allen McManus,1970,2,197
Kevin Wilson,1970,2,198
Alex Boyd,1970,2,199
Fred Carpenter,1970,2,200
Charles Bloodworth,1970,2,201
Gary Elliot,1970,2,202
Don Debardelaben,1970,2,203
Clyde Oatis,1970,2,204
Randy Smith,1970,2,205
Andy Jennings,1970,2,206
Dan Beeson,1970,2,207
Frank Lothridge,1970,2,208
Don Tomilson,1970,2,209
Chad Calabria,1970,2,210
Paul Funkhouser,1970,2,211
Ron Sanford,1970,2,212
Mike Williams,1970,2,213
Jay Bond,1970,2,214
Denis Clark,1970,2,215
Mike Neer,1970,2,216
Steve Wannamaker,1970,2,217
Wayne Canaday,1970,2,218
Walt Williams,1970,2,219
Paul Otay,1970,2,220
Will Teague,1970,2,221
Ted Rose,1970,2,222
Dean Elofson,1970,2,223
Harvey Marlatt,1970,2,224
Paul Favorite,1970,2,225
Doug Williams,1970,2,226
Steve Wilson,1970,2,227
Pete Walthour,1970,2,228
Don Rather,1970,2,229
Dennis Dickens,1970,2,230
Rich Peterson,1970,2,231
Bob Thati,1970,2,232
Vince Fritz,1970,2,233
Jeff Cunningham,1970,2,234
Bruce Butchko,1970,2,235
Emmanuel Cannon,1970,2,236
Rick Erickson,1970,2,237
Allen Waller,1970,2,238
Mark Gabriel,1970,2,239
Austin Carr,1971,1,1
Sidney Wicks,1971,1,2
Elmore Smith,1971,1,3
Ken Durrett,1971,1,4
George Trapp,1971,1,5
Fred Brown,1971,1,6
Cliff Meely,1971,1,7
Darnell Hillman,1971,1,8
Stan Love,1971,1,9
Clarence Glover,1971,1,10
Curtis Rowe,1971,1,11
Dana Lewis,1971,1,12
Jim Cleamons,1971,1,13
John Roche,1971,1,14
Kenny McIntosh,1971,1,15
Dean Meminger,1971,1,16
Collis Jones,1971,1,17
Steve Patterson,1971,1,18
Fred Hilton,1971,1,19
Willie Sojourner,1971,1,20
John Mengelt,1971,1,21
Ted McClain,1971,1,22
Jim McDaniels,1971,1,23
